,firstname,lastname,title,birthplace,birthdate,deathday,fraktion,jobs,total_speeches,sessions_attended,Beifall_party,Beifall_person,Beifall_total,Beifall_person_other_party_speaker,Beifall_while_speaker,Beifall_per_speaker,Zwischenruf_party,Zwischenruf_person,Zwischenruf_total,Zwischenruf_person_other_party_speaker,Zwischenruf_while_speaker,Zwischenruf_per_speaker,Lachen_party,Lachen_person,Lachen_total,Lachen_person_other_party_speaker,Lachen_while_speaker,Lachen_per_speaker,Zuruf_party,Zuruf_person,Zuruf_total,Zuruf_person_other_party_speaker,Zuruf_while_speaker,Zuruf_per_speaker,Widerspruch_party,Widerspruch_person,Widerspruch_total,Widerspruch_person_other_party_speaker,Widerspruch_while_speaker,Widerspruch_per_speaker,Heiterkeit_party,Heiterkeit_person,Heiterkeit_total,Heiterkeit_person_other_party_speaker,Heiterkeit_while_speaker,Heiterkeit_per_speaker
11003888,wolfgang,strengmann-kuhn,Dr.,Dinslaken,20.05.1964,,2.0,['Volkswirt'],50,238,31606,111,31717,0,359,7.18,950,253,1203,0,168,3.36,590,1,591,1,5,0.1,698,32,730,0,6,0.12,291,2,293,0,1,0.02,372,0,372,0,7,0.14
11003889,manuel,sarrazin,,Dortmund,06.02.1982,,2.0,['Historiker'],39,228,30099,24,30123,0,198,5.076923076923077,900,89,989,0,84,2.1538461538461537,568,0,568,0,3,0.07692307692307693,665,33,698,0,11,0.28205128205128205,279,1,280,0,3,0.07692307692307693,357,0,357,0,0,0.0
11003890,christian,hirte,,Bad Salzungen,23.05.1976,,0.0,"['Rechtsanwalt', 'Fachanwalt für Steuerrecht']",11,237,43961,7,43968,0,38,3.4545454545454546,1171,9,1180,0,47,4.2727272727272725,375,0,375,0,1,0.09090909090909091,235,1,236,0,1,0.09090909090909091,176,0,176,0,0,0.0,694,0,694,0,0,0.0
11003896,eva,hoegl,Dr.,Osnabrück,06.01.1969,,1.0,['Juristin'],35,233,44121,88,44209,0,281,8.028571428571428,1400,178,1578,0,76,2.1714285714285713,616,0,616,0,4,0.11428571428571428,582,2,584,0,15,0.42857142857142855,273,0,273,0,2,0.05714285714285714,578,3,581,0,0,0.0
11004003,christine,aschenberg-dugnus,,Eppstein / Ts.,22.09.1959,,3.0,['Rechtsanwältin'],65,239,27889,49,27938,0,440,6.769230769230769,1047,303,1350,0,145,2.230769230769231,309,1,310,1,1,0.015384615384615385,243,16,259,0,9,0.13846153846153847,106,0,106,0,1,0.015384615384615385,415,1,416,0,3,0.046153846153846156
11004004,peter,aumer,,Regensburg,17.04.1976,,0.0,['Dipl.-Betriebswirt (FH)'],45,237,43931,3,43934,0,202,4.488888888888889,1175,2,1177,0,237,5.266666666666667,370,0,370,0,4,0.08888888888888889,238,0,238,0,29,0.6444444444444445,173,0,173,0,3,0.06666666666666667,692,0,692,0,3,0.06666666666666667
11004006,baerbel,bas,,Walsum (jetzt Duisburg),03.05.1968,,1.0,"['Bundestagspräsidentin', 'Personalmanagementökonomin (VWA)']",36,226,42495,28,42523,0,252,7.0,1360,10,1370,0,109,3.0277777777777777,577,0,577,0,3,0.08333333333333333,542,0,542,0,13,0.3611111111111111,267,0,267,0,1,0.027777777777777776,555,1,556,0,1,0.027777777777777776
11004008,manfred,behrens,,Magdeburg,28.10.1956,,0.0,"['Verwaltungsvollzugsbeamter', 'Ortsbürgermeister']",0,238,44039,0,44039,0,0,,1171,1,1172,0,0,,375,0,375,0,0,,231,0,231,0,0,,174,0,174,0,0,,695,0,695,0,0,
11004010,peter,beyer,,Ratingen,25.12.1970,,0.0,"['Rechtsanwalt', 'Fachanwalt für gewerblichen Rechtsschutz']",20,238,44036,19,44055,0,73,3.65,1174,118,1292,0,18,0.9,378,0,378,0,0,0.0,239,1,240,0,1,0.05,176,0,176,0,0,0.0,692,0,692,0,2,0.1
11004011,steffen,bilger,,Schongau,16.02.1979,,0.0,['Volljurist'],23,239,44253,0,44253,0,53,2.3043478260869565,1180,0,1180,0,39,1.6956521739130435,379,0,379,0,2,0.08695652173913043,239,0,239,0,1,0.043478260869565216,176,1,177,0,0,0.0,696,0,696,0,1,0.043478260869565216
11004012,matthias,birkwald,,Münster,28.09.1961,,5.0,['Dipl.-Sozialwissenschaftler'],46,237,29867,252,30119,0,321,6.978260869565218,1142,2776,3918,0,131,2.847826086956522,441,7,448,7,6,0.13043478260869565,649,100,749,0,10,0.21739130434782608,258,8,266,0,0,0.0,232,7,239,0,5,0.10869565217391304
11004017,norbert,brackmann,,Lauenburg/Elbe,30.08.1954,,0.0,['Jurist'],2,235,43516,1,43517,0,6,3.0,1152,0,1152,0,0,0.0,360,0,360,0,0,0.0,236,0,236,0,0,0.0,171,0,171,0,0,0.0,688,0,688,0,0,0.0
11004018,reinhard,brandl,Dr.,Ingolstadt,01.08.1977,,0.0,['Dipl.-Wirtschaftsingenieur'],54,237,43920,4,43924,0,206,3.814814814814815,1172,30,1202,0,153,2.8333333333333335,378,0,378,0,5,0.09259259259259259,239,0,239,0,14,0.25925925925925924,175,0,175,0,5,0.09259259259259259,689,0,689,0,5,0.09259259259259259
11004019,heike,brehmer,,Staßfurt,05.11.1962,,0.0,['Diplom-Betriebswirtin (FH)'],6,235,43537,7,43544,0,29,4.833333333333333,1158,7,1165,0,13,2.1666666666666665,375,0,375,0,0,0.0,236,0,236,0,0,0.0,174,0,174,0,0,0.0,693,0,693,0,0,0.0
11004021,ralph,brinkhaus,,Wiedenbrück,15.06.1968,,0.0,['Steuerberater'],27,239,44253,19,44272,0,365,13.518518518518519,1180,312,1492,0,216,8.0,379,1,380,1,11,0.4074074074074074,239,4,243,0,40,1.4814814814814814,176,2,178,0,4,0.14814814814814814,696,1,697,0,3,0.1111111111111111
11004022,christine,buchholz,,Hamburg,02.04.1971,,5.0,"['freiberufliche Redakteurin', 'wissenschaftliche Mitarbeiterin']",39,231,29055,7,29062,0,266,6.82051282051282,1105,48,1153,0,113,2.8974358974358974,422,2,424,2,6,0.15384615384615385,641,4,645,0,2,0.05128205128205128,253,0,253,0,3,0.07692307692307693,222,0,222,0,1,0.02564102564102564
11004023,marco,buschmann,Dr.,Gelsenkirchen,01.08.1977,,3.0,['Rechtsanwalt'],44,237,27671,25,27696,0,278,6.318181818181818,1038,570,1608,0,202,4.590909090909091,306,4,310,4,9,0.20454545454545456,237,19,256,0,15,0.3409090909090909,106,3,109,0,6,0.13636363636363635,409,0,409,0,4,0.09090909090909091
11004029,bijan,djir-sarai,,Teheran/Iran,06.06.1976,,3.0,['Diplom-Kaufmann'],56,238,27777,20,27797,0,335,5.982142857142857,1045,15,1060,0,52,0.9285714285714286,308,0,308,0,0,0.0,243,0,243,0,5,0.08928571428571429,106,0,106,0,0,0.0,415,1,416,0,0,0.0
11004030,katja,doerner,,Siegen,18.02.1976,,2.0,['Wissenschaftliche Referentin'],44,214,28318,7,28325,0,281,6.386363636363637,870,46,916,0,69,1.5681818181818181,527,0,527,0,2,0.045454545454545456,617,2,619,0,1,0.022727272727272728,262,0,262,0,1,0.022727272727272728,320,0,320,0,1,0.022727272727272728
11004033,edgar,franke,Dr.,Gudensberg,21.01.1960,,1.0,"['Bürgermeister a. D.', 'Jurist']",26,233,43808,21,43829,0,183,7.038461538461538,1398,8,1406,0,83,3.1923076923076925,595,0,595,0,3,0.11538461538461539,574,0,574,0,5,0.19230769230769232,274,0,274,0,2,0.07692307692307693,568,0,568,0,5,0.19230769230769232
11004034,michael,frieser,,Nürnberg,30.03.1964,,0.0,['Rechtsanwalt'],44,237,43746,5,43751,0,220,5.0,1171,82,1253,0,227,5.159090909090909,376,4,380,4,13,0.29545454545454547,235,2,237,0,19,0.4318181818181818,176,0,176,0,5,0.11363636363636363,687,0,687,0,8,0.18181818181818182
11004036,ingo,gaedechens,,Lübeck,30.07.1960,,0.0,['Berufssoldat a. D.'],21,231,42631,40,42671,0,103,4.904761904761905,1142,290,1432,0,71,3.380952380952381,360,0,360,0,0,0.0,233,3,236,0,5,0.23809523809523808,170,0,170,0,0,0.0,667,3,670,0,5,0.23809523809523808
11004038,thomas,gebhart,Dr.,Kandel,20.12.1971,,0.0,"['Magister (Politikwissenschaft', 'Betriebswirtschaftslehre)']",13,232,42796,0,42796,0,44,3.3846153846153846,1147,0,1147,0,6,0.46153846153846156,363,0,363,0,0,0.0,231,0,231,0,0,0.0,170,0,170,0,0,0.0,672,0,672,0,0,0.0
11004039,michael,gerdes,,Bottrop,23.05.1960,,1.0,"['Bergmann', 'Elektrohauer']",26,214,40112,7,40119,0,167,6.423076923076923,1215,7,1222,0,35,1.3461538461538463,567,0,567,0,0,0.0,525,0,525,0,2,0.07692307692307693,249,0,249,0,0,0.0,515,0,515,0,2,0.07692307692307693
11004040,alois,gerig,,Höpfingen,30.01.1956,,0.0,"['Geschäftsführer', 'Landwirtschaftsmeister']",15,239,44253,4,44257,0,85,5.666666666666667,1180,10,1190,0,46,3.066666666666667,379,0,379,0,0,0.0,239,0,239,0,4,0.26666666666666666,176,0,176,0,1,0.06666666666666667,696,0,696,0,3,0.2
11004041,nicole,gohlke,,München,15.11.1975,,5.0,['Sozialwissenschaftlerin'],36,210,26638,25,26663,0,245,6.805555555555555,982,125,1107,0,84,2.3333333333333335,390,0,390,0,4,0.1111111111111111,564,13,577,0,4,0.1111111111111111,233,0,233,0,0,0.0,195,0,195,0,0,0.0
11004045,michael,gross,,Marl,26.07.1956,,1.0,['Geschäftsbereichsleiter'],22,231,43651,4,43655,0,175,7.954545454545454,1385,86,1471,0,109,4.954545454545454,609,0,609,0,1,0.045454545454545456,577,0,577,0,11,0.5,269,0,269,0,1,0.045454545454545456,564,0,564,0,1,0.045454545454545456
11004046,astrid,grotelueschen,,Köln,09.12.1964,,0.0,"['Diplom-Oecotrophologin', 'Geschäftsführerin', 'Landesministerin a. D.']",9,236,43687,9,43696,0,40,4.444444444444445,1160,2,1162,0,8,0.8888888888888888,374,0,374,0,0,0.0,236,0,236,0,4,0.4444444444444444,170,0,170,0,0,0.0,689,0,689,0,1,0.1111111111111111
11004048,florian,hahn,,München,14.03.1974,,0.0,['Elektronic Marketing Fachwirt  (BAW)'],48,235,43191,20,43211,0,205,4.270833333333333,1155,128,1283,0,154,3.2083333333333335,374,0,374,0,4,0.08333333333333333,231,2,233,0,14,0.2916666666666667,174,0,174,0,2,0.041666666666666664,677,0,677,0,4,0.08333333333333333
11004049,stephan,harbarth,Dr.,Heidelberg,19.12.1971,,0.0,['Rechtsanwalt'],20,239,44253,2,44255,0,152,7.6,1180,5,1185,0,81,4.05,379,0,379,0,3,0.15,239,0,239,0,6,0.3,176,0,176,0,2,0.1,696,0,696,0,2,0.1
11004050,juergen,hardt,,Hofheim am Taunus,30.05.1963,,0.0,['Dipl.-Volkswirt'],80,236,43766,25,43791,0,281,3.5125,1159,119,1278,0,184,2.3,375,0,375,0,4,0.05,233,5,238,0,9,0.1125,175,0,175,0,1,0.0125,692,0,692,0,3,0.0375
11004051,matthias,heider,Dr.,Lüdenscheid,18.05.1966,,0.0,['Rechtsanwalt'],24,238,44051,6,44057,0,95,3.9583333333333335,1176,21,1197,0,83,3.4583333333333335,376,0,376,0,3,0.125,238,1,239,0,9,0.375,175,0,175,0,1,0.041666666666666664,691,0,691,0,3,0.125
11004052,mechthild,heil,,Andernach,23.08.1961,,0.0,['Dipl.-Ing. Architektin'],13,231,42530,0,42530,0,60,4.615384615384615,1134,3,1137,0,50,3.8461538461538463,373,0,373,0,1,0.07692307692307693,234,0,234,0,4,0.3076923076923077,172,0,172,0,0,0.0,668,0,668,0,1,0.07692307692307693
11004054,frank,heinrich,,Siegen,25.01.1964,,0.0,"['Sozialarbeiter', 'Theologe']",33,230,42584,34,42618,0,115,3.484848484848485,1125,6,1131,0,73,2.212121212121212,373,0,373,0,0,0.0,229,0,229,0,2,0.06060606060606061,172,0,172,0,0,0.0,680,0,680,0,4,0.12121212121212122
11004055,rudolf,henke,,Düren,05.06.1954,,0.0,['Arzt'],55,230,42332,27,42359,0,253,4.6,1135,70,1205,0,186,3.381818181818182,368,0,368,0,2,0.03636363636363636,229,5,234,0,23,0.41818181818181815,172,0,172,0,2,0.03636363636363636,675,0,675,0,11,0.2
11004056,ansgar,heveling,,Rheydt,03.07.1972,,0.0,['Jurist'],32,237,43981,3,43984,0,112,3.5,1175,22,1197,0,112,3.5,370,0,370,0,2,0.0625,238,2,240,0,3,0.09375,174,0,174,0,0,0.0,694,0,694,0,3,0.09375
11004057,manuel,hoeferlin,,Paris,06.02.1973,,3.0,['IT Unternehmer'],58,237,27690,11,27701,0,236,4.068965517241379,1045,376,1421,0,138,2.3793103448275863,308,4,312,4,5,0.08620689655172414,242,7,249,0,8,0.13793103448275862,106,0,106,0,1,0.017241379310344827,413,2,415,0,4,0.06896551724137931
11004059,karl,holmeier,,Weiding,10.09.1956,,0.0,"['Erster Bürgermeister a. D.', 'Bankkaufmann']",17,238,44051,1,44052,0,79,4.647058823529412,1176,17,1193,0,59,3.4705882352941178,376,0,376,0,3,0.17647058823529413,238,0,238,0,2,0.11764705882352941,175,0,175,0,1,0.058823529411764705,691,0,691,0,2,0.11764705882352941
11004060,andrej,hunko,,München,29.09.1963,,5.0,['Mediengestalter'],34,233,29198,4,29202,0,198,5.823529411764706,1118,43,1161,0,67,1.9705882352941178,431,0,431,0,0,0.0,637,0,637,0,5,0.14705882352941177,248,0,248,0,0,0.0,221,0,221,0,1,0.029411764705882353
11004061,thomas,jarzombek,,Düsseldorf,28.04.1973,,0.0,['IT-Berater'],13,236,43542,4,43546,0,58,4.461538461538462,1154,35,1189,0,60,4.615384615384615,373,0,373,0,0,0.0,235,0,235,0,6,0.46153846153846156,170,0,170,0,0,0.0,686,0,686,0,10,0.7692307692307693
11004063,oliver,kaczmarek,,Kamen,08.08.1970,,1.0,['Sozialwissenschaftler'],34,237,44705,15,44720,0,211,6.205882352941177,1420,21,1441,0,70,2.0588235294117645,616,0,616,0,0,0.0,588,0,588,0,6,0.17647058823529413,277,0,277,0,0,0.0,584,0,584,0,1,0.029411764705882353
11004065,stefan,kaufmann,Dr.,Stuttgart,21.08.1969,,0.0,['Rechtsanwalt'],17,232,42938,12,42950,0,108,6.352941176470588,1148,26,1174,0,66,3.8823529411764706,364,0,364,0,2,0.11764705882352941,225,0,225,0,6,0.35294117647058826,168,0,168,0,0,0.0,664,0,664,0,1,0.058823529411764705
11004066,uwe,kekeritz,,Mittelberg,09.10.1953,,2.0,['Diplom-Volkswirt (Universität)'],43,231,30844,50,30894,0,198,4.604651162790698,937,215,1152,0,69,1.6046511627906976,584,4,588,3,2,0.046511627906976744,686,6,692,0,2,0.046511627906976744,284,0,284,0,0,0.0,365,2,367,0,6,0.13953488372093023
11004067,katja,keul,,Berlin,30.11.1969,,2.0,['Rechtsanwältin'],78,239,31632,66,31698,0,467,5.987179487179487,953,286,1239,0,169,2.1666666666666665,590,1,591,1,0,0.0,698,7,705,0,10,0.1282051282051282,291,0,291,0,1,0.01282051282051282,372,0,372,0,1,0.01282051282051282
11004068,roderich,kiesewetter,,Pfullendorf,11.09.1963,,0.0,"['Diplom-Kaufmann', 'Offizier']",53,235,43625,20,43645,0,238,4.490566037735849,1162,29,1191,0,165,3.1132075471698113,365,0,365,0,4,0.07547169811320754,238,0,238,0,7,0.1320754716981132,176,0,176,0,4,0.07547169811320754,691,0,691,0,5,0.09433962264150944
11004070,sven-christian,kindler,,Hannover,14.02.1985,,2.0,"['Betriebswirt', 'Unternehmenscontroller']",48,228,30087,72,30159,0,417,8.6875,924,188,1112,0,209,4.354166666666667,572,4,576,4,8,0.16666666666666666,677,17,694,0,17,0.3541666666666667,286,0,286,0,4,0.08333333333333333,363,0,363,0,1,0.020833333333333332
11004071,volkmar,klein,,Siegen,13.01.1960,,0.0,['Diplom-Volkswirt'],21,238,44084,4,44088,0,94,4.476190476190476,1178,16,1194,0,57,2.7142857142857144,378,0,378,0,4,0.19047619047619047,239,0,239,0,8,0.38095238095238093,176,0,176,0,0,0.0,695,2,697,0,2,0.09523809523809523
11004072,maria,klein-schmeink,,Dingden,06.01.1958,,2.0,['Soziologin'],58,237,31297,19,31316,0,377,6.5,948,137,1085,0,105,1.8103448275862069,582,0,582,0,0,0.0,690,22,712,0,6,0.10344827586206896,288,0,288,0,2,0.034482758620689655,362,0,362,0,2,0.034482758620689655
11004073,axel,knoerig,,Bassum,01.03.1967,,0.0,['ohne Angaben'],23,236,43621,8,43629,0,103,4.478260869565218,1162,1,1163,0,102,4.434782608695652,376,0,376,0,1,0.043478260869565216,234,0,234,0,9,0.391304347826087,172,0,172,0,1,0.043478260869565216,689,0,689,0,0,0.0
11004075,pascal,kober,,Sindelfingen,03.07.1971,,3.0,['Militärseelsorger'],63,233,27157,51,27208,0,378,6.0,1021,125,1146,0,237,3.761904761904762,302,0,302,0,7,0.1111111111111111,242,1,243,0,23,0.36507936507936506,99,0,99,0,2,0.031746031746031744,403,0,403,0,5,0.07936507936507936
11004079,daniela,kolbe,,Schleiz,22.02.1980,,1.0,['Diplom-Physikerin'],40,219,42016,19,42035,0,252,6.3,1325,12,1337,0,157,3.925,575,0,575,0,3,0.075,546,3,549,0,4,0.1,261,0,261,0,0,0.0,547,0,547,0,6,0.15
11004080,jutta,krellmann,,Johannisberg,07.01.1956,,5.0,['Gewerkschaftssekretärin'],22,231,29124,28,29152,0,139,6.318181818181818,1130,90,1220,0,38,1.7272727272727273,418,1,419,1,0,0.0,659,10,669,0,0,0.0,258,0,258,0,0,0.0,227,0,227,0,4,0.18181818181818182
11004081,oliver,krischer,,Zülpich,26.07.1969,,2.0,['Wissenschaftlicher Mitarbeiter'],73,231,30778,17,30795,0,396,5.424657534246576,916,756,1672,0,323,4.424657534246576,572,16,588,15,7,0.0958904109589041,680,74,754,0,30,0.410958904109589,282,6,288,0,4,0.0547945205479452,348,2,350,0,7,0.0958904109589041
11004083,ruediger,kruse,,Hamburg,10.06.1961,,0.0,['Geschäftsführer'],23,237,43727,3,43730,0,97,4.217391304347826,1166,0,1166,0,125,5.434782608695652,378,0,378,0,1,0.043478260869565216,238,0,238,0,7,0.30434782608695654,175,0,175,0,0,0.0,695,0,695,0,16,0.6956521739130435
11004085,stephan,kuehn,,Dresden,06.09.1979,,2.0,['Diplom-Soziologe'],23,233,30705,7,30712,0,175,7.608695652173913,923,53,976,0,73,3.1739130434782608,572,0,572,0,2,0.08695652173913043,661,3,664,0,0,0.0,277,0,277,0,2,0.08695652173913043,362,0,362,0,3,0.13043478260869565
11004087,ulrich,lange,,Meran (Südtirol),06.06.1969,,0.0,['Rechtsanwalt'],26,237,43920,4,43924,0,177,6.8076923076923075,1171,8,1179,0,106,4.076923076923077,370,0,370,0,5,0.19230769230769232,237,1,238,0,24,0.9230769230769231,173,0,173,0,4,0.15384615384615385,693,0,693,0,2,0.07692307692307693
11004088,caren,lay,,Neuwied,11.12.1972,,5.0,['Dipl.-Soziologin'],61,231,29112,34,29146,0,561,9.19672131147541,1110,121,1231,0,292,4.786885245901639,433,3,436,3,5,0.08196721311475409,638,13,651,0,8,0.13114754098360656,250,0,250,0,3,0.04918032786885246,225,0,225,0,0,0.0
11004089,sabine,leidig,,Heidelberg,07.08.1961,,5.0,['Geschäftsführerin'],33,221,27829,33,27862,0,180,5.454545454545454,1075,69,1144,0,121,3.6666666666666665,417,12,429,12,4,0.12121212121212122,606,6,612,0,5,0.15151515151515152,243,1,244,0,0,0.0,210,0,210,0,1,0.030303030303030304
11004091,ralph,lenkert,,Apolda,09.05.1967,,5.0,"['Werkzeugmacher', 'staatlich geprüfter Techniker für Maschinenbau']",61,236,29618,52,29670,0,398,6.524590163934426,1139,112,1251,0,183,3.0,432,0,432,0,9,0.14754098360655737,657,13,670,0,15,0.2459016393442623,254,0,254,0,4,0.06557377049180328,229,0,229,0,3,0.04918032786885246
11004092,ursula,leyen,Dr.,Brüssel,08.10.1958,,0.0,"['Ärztin', 'Bundesministerin a. D.', 'Präsidentin der Europäischen Kommission']",24,239,44253,0,44253,0,103,4.291666666666667,1180,5,1185,0,58,2.4166666666666665,379,0,379,0,0,0.0,239,0,239,0,3,0.125,176,0,176,0,0,0.0,696,0,696,0,1,0.041666666666666664
11004093,stefan,liebich,,Wismar,30.12.1972,,5.0,['Diplom-Betriebswirt'],37,232,29267,48,29315,0,197,5.324324324324325,1123,134,1257,0,57,1.5405405405405406,430,0,430,0,3,0.08108108108108109,639,4,643,0,7,0.1891891891891892,255,0,255,0,2,0.05405405405405406,221,0,221,0,5,0.13513513513513514
11004097,christian,lindner,,Wuppertal,07.01.1979,,3.0,['Mitglied des Bundestages'],48,231,26874,5,26879,0,715,14.895833333333334,993,302,1295,0,451,9.395833333333334,296,2,298,2,17,0.3541666666666667,236,7,243,0,66,1.375,96,1,97,0,12,0.25,402,0,402,0,13,0.2708333333333333
11004098,carsten,linnemann,Dr.,Paderborn,10.08.1977,,0.0,['Volkswirt'],15,237,43771,5,43776,0,94,6.266666666666667,1174,3,1177,0,89,5.933333333333334,376,0,376,0,3,0.2,237,0,237,0,10,0.6666666666666666,175,0,175,0,0,0.0,692,0,692,0,2,0.13333333333333333
11004099,burkhard,lischka,,Marsberg,01.02.1965,,1.0,"['Notar', 'Sprecher für Recht', 'Verbraucherschutz', 'Obmann im Parlamentarischen Kontrollgremium', 'Staatssekretär a. D.']",6,236,44499,20,44519,0,47,7.833333333333333,1411,79,1490,0,26,4.333333333333333,611,1,612,1,2,0.3333333333333333,585,4,589,0,1,0.16666666666666666,274,0,274,0,0,0.0,581,0,581,0,1,0.16666666666666666
11004100,jan-marco,luczak,Dr.,Berlin,02.10.1975,,0.0,['Rechtsanwalt'],52,237,43989,60,44049,0,287,5.519230769230769,1174,308,1482,0,244,4.6923076923076925,374,0,374,0,4,0.07692307692307693,237,10,247,0,26,0.5,176,0,176,0,6,0.11538461538461539,695,0,695,0,6,0.11538461538461539
11004101,kirsten,luehmann,,Oldenburg (Oldb.),28.04.1964,,1.0,['Polizeibeamtin'],37,238,44964,38,45002,0,234,6.324324324324325,1427,161,1588,0,92,2.4864864864864864,619,0,619,0,3,0.08108108108108109,591,3,594,0,9,0.24324324324324326,280,0,280,0,0,0.0,592,1,593,0,2,0.05405405405405406
11004102,oliver,luksic,,Saarbrücken,09.10.1979,,3.0,['Unternehmensberater'],62,239,27889,10,27899,0,206,3.3225806451612905,1047,250,1297,0,121,1.9516129032258065,309,0,309,0,1,0.016129032258064516,243,17,260,0,13,0.20967741935483872,106,0,106,0,4,0.06451612903225806,415,0,415,0,3,0.04838709677419355
11004103,thomas,lutze,,Elsterwerda,23.08.1969,,5.0,['Bürokaufmann'],36,233,29142,46,29188,0,204,5.666666666666667,1110,19,1129,0,47,1.3055555555555556,426,0,426,0,1,0.027777777777777776,656,2,658,0,2,0.05555555555555555,252,0,252,0,0,0.0,220,0,220,0,2,0.05555555555555555
11004104,karin,maag,,Stuttgart,13.06.1962,,0.0,['Juristin'],30,237,43889,116,44005,0,183,6.1,1166,63,1229,0,99,3.3,373,1,374,1,3,0.1,238,6,244,0,8,0.26666666666666666,175,0,175,0,4,0.13333333333333333,693,1,694,0,3,0.1
11004105,thomas,maizière,Dr.,Bonn,21.01.1954,,0.0,"['Bundesminister a. D.', 'Jurist']",31,236,43715,14,43729,0,88,2.838709677419355,1169,29,1198,0,68,2.193548387096774,375,0,375,0,2,0.06451612903225806,238,1,239,0,4,0.12903225806451613,174,0,174,0,4,0.12903225806451613,688,0,688,0,2,0.06451612903225806
11004106,agnes,malczak,,Legnica,08.02.1985,,2.0,['Politikerin'],66,239,31632,0,31632,0,418,6.333333333333333,953,0,953,0,77,1.1666666666666667,590,0,590,0,3,0.045454545454545456,698,0,698,0,5,0.07575757575757576,291,0,291,0,1,0.015151515151515152,372,0,372,0,1,0.015151515151515152
11004107,hans-georg,marwitz,,Heidelberg,08.04.1961,,0.0,['Landwirt'],7,218,40091,2,40093,0,28,4.0,1049,4,1053,0,13,1.8571428571428572,354,0,354,0,0,0.0,211,0,211,0,0,0.0,163,0,163,0,0,0.0,620,0,620,0,1,0.14285714285714285
11004108,andreas,mattfeldt,,Verden (Aller),28.09.1969,,0.0,['Industriekaufmann'],11,235,43479,40,43519,0,72,6.545454545454546,1162,186,1348,0,34,3.090909090909091,370,2,372,2,0,0.0,238,2,240,0,2,0.18181818181818182,174,0,174,0,0,0.0,676,1,677,0,3,0.2727272727272727
11004110,mathias,middelberg,Dr.,Osnabrück,14.12.1964,,0.0,['Rechtsanwalt'],33,234,43393,17,43410,0,227,6.878787878787879,1155,37,1192,0,214,6.484848484848484,373,0,373,0,7,0.21212121212121213,239,3,242,0,14,0.42424242424242425,176,0,176,0,1,0.030303030303030304,686,0,686,0,3,0.09090909090909091
11004111,cornelia,moehring,,Hamburg-Altona,09.01.1960,,5.0,['Dipl. Sozialökonomin'],22,211,26382,7,26389,0,142,6.454545454545454,1022,14,1036,0,41,1.8636363636363635,385,1,386,1,5,0.22727272727272727,590,0,590,0,1,0.045454545454545456,235,0,235,0,1,0.045454545454545456,203,0,203,0,2,0.09090909090909091
11004113,dietrich,monstadt,,Bochum,15.09.1957,,0.0,['Rechtsanwalt'],13,239,44253,1,44254,0,52,4.0,1180,3,1183,0,25,1.9230769230769231,379,0,379,0,1,0.07692307692307693,239,0,239,0,6,0.46153846153846156,176,0,176,0,0,0.0,696,0,696,0,0,0.0
11004114,niema,movassat,,Wuppertal,22.08.1984,,5.0,['Diplom-Jurist'],62,239,30020,41,30061,0,430,6.935483870967742,1160,555,1715,0,213,3.435483870967742,441,0,441,0,11,0.1774193548387097,670,9,679,0,8,0.12903225806451613,259,4,263,0,1,0.016129032258064516,232,0,232,0,3,0.04838709677419355
11004116,nadine,mueller,,Lebach,05.06.1983,,0.0,['Diplom-Juristin'],51,239,44253,0,44253,0,329,6.450980392156863,1180,0,1180,0,184,3.607843137254902,379,0,379,0,5,0.09803921568627451,239,0,239,0,16,0.3137254901960784,176,0,176,0,5,0.09803921568627451,696,0,696,0,1,0.0196078431372549
11004117,beate,mueller-gemmeke,,Frankfurt am Main,07.10.1960,,2.0,['Dipl. Sozialpädagogin (FH)'],59,228,30387,48,30435,0,417,7.067796610169491,910,495,1405,0,56,0.9491525423728814,558,3,561,3,0,0.0,673,41,714,0,2,0.03389830508474576,281,0,281,0,0,0.0,354,0,354,0,1,0.01694915254237288
11004119,ingrid,nestle,,Schwäbisch Gmünd,22.12.1977,,2.0,['Diplom-Wirtschaftsingenieurin'],18,230,30488,21,30509,0,98,5.444444444444445,923,42,965,0,57,3.1666666666666665,565,0,565,0,2,0.1111111111111111,675,11,686,0,3,0.16666666666666666,286,1,287,0,0,0.0,354,3,357,0,2,0.1111111111111111
11004120,martin,neumann,Prof. Dr.,Vetschau,27.01.1956,,3.0,"['Prof.', 'Diplom-Ingenieur', 'Hochschullehrer']",39,239,27889,11,27900,0,197,5.051282051282051,1047,84,1131,0,75,1.9230769230769231,309,0,309,0,2,0.05128205128205128,243,1,244,0,4,0.10256410256410256,106,0,106,0,1,0.02564102564102564,415,1,416,0,2,0.05128205128205128
11004122,thomas,nord,,Berlin,19.10.1957,,5.0,['Kulturwissenschaftler'],2,200,25329,1,25330,0,12,6.0,976,1,977,0,2,1.0,371,0,371,0,0,0.0,561,2,563,0,0,0.0,225,0,225,0,0,0.0,193,0,193,0,0,0.0
11004123,konstantin,notz,Dr.,Mölln,21.01.1971,,2.0,['Rechtsanwalt'],65,239,31632,37,31669,0,446,6.861538461538461,953,508,1461,0,198,3.046153846153846,590,1,591,1,7,0.1076923076923077,698,19,717,0,12,0.18461538461538463,291,2,293,0,1,0.015384615384615385,372,1,373,0,8,0.12307692307692308
